loan_ref,borrower_name,borrower_dob,borrower_email,borrower_phone,co_borrower_name,address_street,address_suburb,address_state,address_postcode,property_type,bedrooms,purchase_price,loan_amount,interest_rate,loan_term_months,interest_type,repayment_type,repayment_frequency,product_name,settlement_date,loan_status,lvr,employer,income_gross_annual,expenses_monthly
MIG-000032,Ella Phillips,1992-06-03,ella.phillips@hotmail.com,0410204054,,185 Bridge Court,Gungahlin,ACT,2912,Townhouse,3,645900.00,444379.20,6.60,360,Fixed,Principal and Interest,Monthly,Interest Only Fixed,2016-09-20,SETTLED,68.8,QLD Government,212315.07,4213.76
MIG-000033,Lisa Turner,17/07/1960,lisa.turner@icloud.com,0481634760,,130 Wattle Drive,Joondalup,WA,6027,Apartment,3,271500.00,201453.00,6.02,360,Fixed,Principal and Interest,Monthly,Package Fixed,11/11/2020,DRAFT,74.2,Stockland,214242.98,7980.75
MIG-000034,Linda Robinson,11/04/1971,linda.robinson@gmail.com,0445134630,,139 Banksia Crescent,Bondi,NSW,2026,Vacant Land,,172000.00,117132.00,6.75,360,Variable,Principal and Interest,Fortnightly,Interest Only Variable,12/08/2016,DRAFT,68.1,,242099.73,5155.14
MIG-000035,Sophie Stewart,12/06/1972,sophie.stewart@protonmail.com,0411269304,David Ryan,165 Victoria Avenue,Newcastle,NSW,2300,Townhouse,3,358500.00,250591.50,7.20,360,Variable,Principal and Interest,Monthly,Interest Only Fixed,18/05/2021,SETTLED,69.9,Telstra Corporation,106558.44,4040.82
MIG-000036,Noah Ryan,02/06/1987,noah.ryan@icloud.com,0475601089,Olivia Ryan,126 Park Avenue,Hornsby,NSW,2077,House,4,,752156.80,6.43,360,Split,Principal and Interest,Monthly,Investor Fixed,12/05/2022,DRAFT,71.2,,153342.74,4488.89
MIG-000037,Nancy King,17/02/1967,nancy.king@yahoo.com.au,0471805632,,21 Victoria Court,,QLD,4217,House,3,531800.00,393000.20,5.73,360,Variable,Interest Only,Monthly,Low Doc Variable,10/06/2025,SETTLED,73.9,Rio Tinto,179251.48,2929.19
MIG-000038,Richard Brown,23/08/1996,richard.brown@gmail.com,0422749947,,,,,,House,4,355600.00,248208.80,6.28,360,Fixed,Principal and Interest,Monthly,Low Doc Variable,02/07/2020,DRAFT,69.8,Woolworths Group,63100.43,5900.80
MIG-000039,Zoe Cox,28/10/1972,zoe.cox@outlook.com,0453861544,Jack Cox,132 Queen Way,Toowoomba,QLD,4350,House,2,268900.00,242816.70,6.70,360,Fixed,Principal and Interest,Monthly,Standard Variable,04/09/2017,UNDER_ASSESSMENT,90.3,Mirvac Group,100840.65,2632.71
MIG-000040,Jack Morris,04/12/1961,jack.morris@gmail.com,0486698116,,199 Charles Way,Footscray,VIC,3011,Unit,2,619500.00,540823.50,5.77,360,Variable,Principal and Interest,Monthly,Investor Fixed,10/08/2018,SETTLED,87.3,PwC Australia,229949.43,6665.75
MIG-000041,Karen Lee,23/04/1995,karen.lee@gmail.com,0407927963,Michael Lee,57 William Crescent,Toorak,VIC,3142,Apartment,3,571300.00,457611.30,5.77,360,Split,Principal and Interest,Weekly,Package Fixed,05/05/2018,SETTLED,80.1,Wesfarmers,66723.87,4853.76
MIG-000042,James Cook,1964-02-01,james.cook@outlook.com,0479419948,,57 Pacific Boulevard,Richmond,VIC,3121,Unit,2,334300.00,201917.20,7.10,360,Variable,Principal and Interest,Monthly,Package Fixed,2020-05-04,APPROVED,60.4,,249904.60,2536.04
MIG-000043,Liam Watson,01/03/1984,liam.watson@gmail.com,0488021215,,142 Station Parade,Woden,ACT,2606,Unit,2,,351448.00,6.75,360,Fixed,Principal and Interest,Monthly,Investor Fixed,20/08/2025,SETTLED,89.2,Mirvac Group,100706.50,5165.24
MIG-000044,Ella Adams,20/09/1989,ella.adams@gmail.com,0485789614,,59 Station Boulevard,Castle Hill,NSW,2154,House,2,1039100.00,976754.00,6.07,120,Variable,Principal and Interest,Fortnightly,Investor Fixed,01/01/2021,SETTLED,94.0,Microsoft Australia,229913.89,7445.31
MIG-000045,Ava Gray,25/03/1957,ava.gray@gmail.com,0409386000,Patricia Gray,86 Ocean Crescent,Newtown,NSW,2042,Vacant Land,,318200.00,190601.80,7.31,360,Variable,Principal and Interest,Monthly,Interest Only Variable,15/11/2020,UNDER_ASSESSMENT,59.9,NSW Health,97491.27,3506.37
MIG-000046,Sarah Williams,10-26-1999,sarah.williams@outlook.com,0457284973,,198 Elizabeth Drive,Hawthorn,VIC,3122,House,2,622400.00,448750.40,6.37,360,Split,Interest Only,Fortnightly,Investor Variable,02-16-2021,UNDER_ASSESSMENT,72.1,Mirvac Group,158414.95,5238.16
MIG-000047,Olivia Thompson,27/12/1998,olivia.thompson@hotmail.com,0487183068,Steven Thompson,163 Ocean Road,Joondalup,WA,6027,House,2,285700.00,209989.50,6.35,360,Variable,Principal and Interest,Monthly,Interest Only Fixed,27/11/2023,DRAFT,73.5,,109273.83,6407.96
MIG-000048,William Parker,07/12/1992,william.parker@gmail.com,0417534558,Olivia Parker,35 Elizabeth Parade,Box Hill,VIC,3128,Townhouse,1,688800.00,444964.80,6.52,360,Variable,Principal and Interest,Fortnightly,Low Doc Variable,14/06/2022,APPROVED,64.6,Rio Tinto,154926.30,3990.32
MIG-000049,Susan Adams,1980-07-02,susan.adams@yahoo.com.au,0455748765,,162 Charles Court,Carlton,VIC,3053,Vacant Land,,,176974.60,6.87,360,Variable,Principal and Interest,Monthly,Low Doc Variable,2023-09-27,DRAFT,78.1,Commonwealth Bank,111912.10,4845.03
MIG-000050,Andrew Cox,01/01/1956,andrew.cox@hotmail.com,0484524237,,160 Ocean Parade,Salisbury,SA,5108,House,2,532300.00,345462.70,6.61,360,Variable,Principal and Interest,Monthly,First Home Buyer Variable,07/02/2020,SETTLED,64.9,VIC Department of Education,216463.28,2595.89
MIG-000051,Chloe Smith,08-07-1989,chloe.smith@gmail.com,0439081581,,198 Station Close,South Yarra,VIC,3141,House,1,429700.00,353213.40,7.28,360,Variable,Principal and Interest,Monthly,Investor Variable,02-17-2022,SETTLED,82.2,BHP Group,163373.99,4132.18
MIG-000052,Grace Adams,20/09/1982,grace.adams@hotmail.com,0476114824,,98 Queen Lane,Parramatta,NSW,2150,House,3,375900.00,307486.20,5.93,360,Fixed,Principal and Interest,Monthly,Standard Variable,20/08/2017,SETTLED,81.8,Google Australia,84597.24,3068.31
MIG-000053,Elizabeth Wilson,28/05/1996,elizabeth.wilson@yahoo.com.au,0459345567,,90 Park Close,Indooroopilly,QLD,4068,Townhouse,2,468600.00,349107.00,6.07,360,Fixed,Principal and Interest,Monthly,Package Variable,22/10/2019,DRAFT,74.5,Fortescue Metals,170071.19,7702.69
MIG-000054,Isabella Hall,03/11/1960,isabella.hall@icloud.com,0401425406,Robert Hall,42 Charles Court,Bondi,NSW,2026,Townhouse,4,543200.00,-77244.00,5.69,300,Fixed,Principal and Interest,Fortnightly,Standard Fixed,14/08/2017,APPROVED,53.3,Fortescue Metals,247373.59,7645.44
MIG-000055,Benjamin Nguyen,25/03/1968,benjamin.nguyen@outlook.com,0441383000,,163 Ocean Lane,Joondalup,WA,6027,House,1,689900.00,527083.60,5.90,360,Variable,Principal and Interest,Monthly,Investor Fixed,20/09/2016,APPROVED,76.4,,139989.44,5137.36
MIG-000056,Liam Clark,1997-10-04,liam.clark@hotmail.com,0463228177,Charlotte Clark,13 Charles Court,Toowoomba,QLD,4350,House,2,690400.00,605480.80,6.20,360,Variable,Principal and Interest,Monthly,Interest Only Variable,2018-09-05,Closed,87.7,Santos Limited,174796.92,2970.75
MIG-000057,Mia Clark,03-16-1973,mia.clark@outlook.com,0490315622,Ethan Clark,184 Ocean Court,Cranbourne,VIC,3977,House,4,938000.00,861084.00,6.85,360,Variable,Principal and Interest,Monthly,Interest Only Variable,02-07-2022,UNDER_ASSESSMENT,91.8,University of Sydney,119583.63,4957.67
MIG-000058,Ashley Parker,28/11/1994,ashley.parker@gmail.com,0454515045,Christopher Parker,39 Harbour Court,Gungahlin,ACT,2912,House,2,468900.00,404191.80,5.52,360,Variable,Principal and Interest,Monthly,First Home Buyer Variable,13/10/2018,DRAFT,86.2,Wesfarmers,227169.13,3944.37
MIG-000059,Archer Wright,01/09/1977,archer.wright@hotmail.com,0497175605,,148 Railway Road,Unley,SA,5061,Unit,1,324300.00,143664.90,6.24,300,Split,Principal and Interest,Monthly,Standard Fixed,23/05/2017,UNDER_ASSESSMENT,44.3,ANZ Banking Group,164885.40,6596.50
MIG-000060,Elijah Cox,14/05/1962,elijah.cox@hotmail.com,0466464548,,108 Charles Lane,Mandurah,WA,6210,House,3,477800.00,373639.60,7.08,360,Fixed,Principal and Interest,Monthly,Investor Variable,25/07/2024,UNDER_ASSESSMENT,78.2,,157354.16,4084.88
MIG-000061,Olivia Peterson,21/08/1966,,0472996920,,25 Ocean Parade,Toorak,VIC,3142,Unit,4,594100.00,517461.10,5.62,360,Variable,Principal and Interest,Fortnightly,Interest Only Variable,18/11/2019,SETTLED,87.1,Telstra Corporation,60732.78,4576.07
MIG-000062,Harper Campbell,04/11/2000,harper.campbell@hotmail.com,0447602517,,197 Railway Place,Rockingham,WA,6168,House,3,305600.00,202001.60,6.66,360,Fixed,Principal and Interest,Monthly,Low Doc Variable,17/09/2020,UNDER_ASSESSMENT,66.1,Wesfarmers,91799.63,4813.66
MIG-000063,Liam Ryan,06/10/1977,liam.ryan@icloud.com,0491517943,Matthew Ryan,84 George Lane,Geelong,VIC,3220,Townhouse,4,391700.00,305526.00,7.07,300,Variable,Principal and Interest,Monthly,Package Fixed,22/02/2019,APPROVED,78.0,Westpac Group,230096.93,5773.64
MIG-000064,Benjamin Kelly,25/04/1959,benjamin.kelly@gmail.com,0495388642,,66 Main Road,Sandy Bay,TAS,7005,Vacant Land,,,106074.40,7.45,360,Variable,Interest Only,Fortnightly,Investor Variable,16/02/2017,SETTLED,53.6,Qantas Airways,224271.44,6823.70
MIG-000065,Margaret Roberts,31/02/2020,margaret.roberts@icloud.com,0413991991,,193 Wattle Place,Geelong,VIC,3220,Unit,3,350700.00,250750.50,6.83,300,Fixed,Principal and Interest,Fortnightly,Investor Variable,31/02/2020,UNDER_ASSESSMENT,71.5,Google Australia,98473.90,7824.41
MIG-000066,Andrew Phillips,17/11/1969,andrew.phillips@yahoo.com.au,0425436527,Lisa Phillips,127 Railway Place,Dandenong,VIC,3175,Unit,3,578400.00,549480.00,6.73,360,Variable,Interest Only,Monthly,Investor Fixed,08/03/2019,SETTLED,95.0,Telstra Corporation,126784.98,7746.84
MIG-000016,Jennifer Walker,1981-03-07,jennifer.walker@outlook.com,0468328542,,175 William Street,Toorak,VIC,3142,House,3,527600.00,318670.40,7.03,360,Variable,Principal and Interest,Fortnightly,Low Doc Variable,2020-08-15,UNDER_ASSESSMENT,60.4,National Australia Bank,160176.48,4262.86
MIG-000068,Elizabeth Evans,10/01/1956,elizabeth.evans@yahoo.com.au,0493582647,Ethan Cooper,145 Main Close,Parramatta,NSW,2150,House,2,1018100.00,779864.60,6.60,120,Fixed,Principal and Interest,Weekly,Interest Only Variable,12/10/2025,UNDER_ASSESSMENT,76.6,,160918.69,7238.75
MIG-000069,Jessica  Gray,10/06/1989,jessica.gray@icloud.com,0415898676,,17 Charles Boulevard,Parramatta,NSW,2150,Vacant Land,,163900.00,77033.00,6.04,360,Fixed,Principal and Interest,Monthly,Interest Only Variable,18/02/2015,DRAFT,129.8,PwC Australia,177889.88,6098.20
MIG-000070,Leo Cook,13/03/1958,leo.cook@yahoo.com.au,0449991522,,27 Victoria Parade,Ryde,NSW,2112,Unit,4,469800.00,263557.80,6.37,360,Split,Principal and Interest,Fortnightly,Package Variable,15/12/2023,Arrears,56.1,Woodside Energy,154557.24,5454.88
MIG-000071,Mark Ryan,13/03/1968,mark.ryan@hotmail.com,0470726440,,83 Park Road,Doncaster,VIC,3108,Vacant Land,,304300.00,272044.20,6.98,360,Variable,Principal and Interest,Monthly,Standard Variable,26/08/2020,DRAFT,89.4,University of Sydney,122636.47,3515.24
MIG-000072,Barbara Morgan,15/04/1967,barbara.morgan@gmail.com,0404543840,John Morgan,173 Church Boulevard,South Yarra,VIC,3141,House,3,920600.00,654546.60,6.74,120,Split,Principal and Interest,Fortnightly,Standard Fixed,27/10/2024,APPROVED,71.1,Santos Limited,117006.77,5590.30
MIG-000073,Oliver King,07/01/1956,oliver.king@gmail.com,0412356024,,84 Main Avenue,South Yarra,VIC,3141,House,2,341900.00,271810.50,7.40,360,Fixed,Principal and Interest,Monthly,Low Doc Variable,22/10/2018,DRAFT,79.5,Transurban Group,221773.43,6858.34
MIG-000074,John Smith,##/##/####,john.smith@yahoo.com.au,0425304977,Ashley Cooper,75 George Drive,Newtown,NSW,2042,Unit,2,328100.00,284134.60,6.12,360,Fixed,Principal and Interest,Monthly,Investor Variable,not-a-date,DRAFT,86.6,,184954.47,4262.96
MIG-000075,Barbara Morgan,1974-07-08,barbara.morgan@yahoo.com.au,0434573824,,75 Railway Parade,Rockingham,WA,6168,House,4,303200.00,252565.60,7.07,300,Fixed,Principal and Interest,Monthly,Investor Fixed,2020-05-01,SETTLED,83.3,Wesfarmers,141067.16,6196.37
MIG-000076,Zoe Roberts,10-10-1974,zoe.roberts@bigpond.com,0400838678,,35 Church Place,Gungahlin,ACT,2912,Unit,1,409200.00,255340.80,7.48,360,Variable,Principal and Interest,Monthly,Low Doc Variable,09-08-2024,APPROVED,62.4,Google Australia,241034.70,7842.66
MIG-000077,Christopher Morgan,06-25-1997,christopher.morgan@icloud.com,0493494808,,1 Main Street,Carlton,VIC,3053,Apartment,4,518700.00,371389.20,6.75,360,Variable,Interest Only,Fortnightly,First Home Buyer Variable,10-07-2023,UNDER_ASSESSMENT,71.6,BHP Group,214851.70,7029.02
MIG-000078,Robert Watson,1981-07-21,robert.watson@gmail.com,0499444394,,76 Albert Road,Norwood,SA,5067,Townhouse,1,341100.00,223761.60,6.88,360,Variable,Principal and Interest,Monthly,Package Variable,2022-01-21,APPROVED,65.6,PwC Australia,131006.47,5637.74
MIG-000079,Patricia Hall,12/03/1968,patricia.hall@gmail.com,0407783169,,33 Harbour Parade,Epping,NSW,2121,Unit,2,632800.00,448022.40,7.35,120,Variable,Principal and Interest,Monthly,Package Variable,02/12/2025,APPROVED,70.8,Santos Limited,212504.09,3666.56
MIG-000080,Karen Cook,17/08/1986,karen.cook@outlook.com,0430021975,Emily Cook,162 Queen Place,Redcliffe,QLD,4020,Unit,1,236400.00,151296.00,6.42,360,Split,Principal and Interest,Monthly,Package Variable,10/12/2023,DRAFT,64.0,Canva,239695.67,5154.28
MIG-000081,Mary Johnson,24/06/1990,mary.johnson@optusnet.com.au,0480934252,William Johnson,,Doncaster,,3108,House,4,805200.00,534652.80,7.27,120,Variable,Principal and Interest,Monthly,Interest Only Fixed,05/04/2020,APPROVED,66.4,Wesfarmers,242711.38,5090.51
MIG-000082,Noah Baker,09/09/1986,noah.baker@hotmail.com,0442899941,,112 Wattle Avenue,Ryde,NSW,2112,House,3,1065900.00,554268.00,7.28,360,Variable,Principal and Interest,Monthly,Package Fixed,10/01/2022,Arrears,52.0,,86931.41,3599.05
MIG-000083,Ethan Williams,28/08/1959,ethan.williams@outlook.com,0401516505,,70 Elizabeth Crescent,Cranbourne,VIC,3977,House,3,393400.00,219910.60,6.20,120,Fixed,Principal and Interest,Fortnightly,First Home Buyer Variable,18/02/2016,APPROVED,55.9,National Australia Bank,63432.03,2860.05
MIG-000084,Theodore Walker,16/04/1968,theodore.walker@bigpond.com,0430143618,Grace Walker,192 Station Court,Ryde,NSW,2112,Unit,4,465400.00,379766.40,5.52,360,Fixed,Principal and Interest,Monthly,Standard Variable,10/08/2020,DRAFT,81.6,,95657.37,3410.36
MIG-000085,Robert Wilson,05/04/1987,,0436075536,,15 Ocean Crescent,Box Hill,VIC,3128,House,4,527200.00,394872.80,7.05,360,Variable,Principal and Interest,Monthly,Interest Only Fixed,13/09/2016,SETTLED,74.9,Rio Tinto,186546.79,4131.48
MIG-000086,Ashley Lee,13/09/1992,ashley.lee@gmail.com,0442440768,Alexander Mitchell,86 Harbour Street,,QLD,4101,Vacant Land,,,105678.70,6.60,360,Variable,Principal and Interest,Fortnightly,Interest Only Fixed,17/11/2015,DRAFT,60.7,Canva,95795.16,6878.15
MIG-000087,Theodore Thompson,27/12/1961,theodore.thompson@gmail.com,0478883343,Daniel Thompson,88 Harbour Street,Woden,ACT,2606,Unit,4,466100.00,261016.00,6.63,360,Fixed,Principal and Interest,Fortnightly,Standard Fixed,04/04/2015,SETTLED,56.0,Microsoft Australia,155537.23,7782.17
MIG-000088,Karen Morris,10/01/1961,,0445331054,,156 High Place,Toowoomba,QLD,4350,Townhouse,1,316700.00,228657.40,6.26,360,Fixed,Principal and Interest,Monthly,Standard Variable,05/10/2021,SETTLED,72.2,Telstra Corporation,74828.17,4005.53
MIG-000089,Jack Morgan,01-19-1992,jack.morgan@optusnet.com.au,0442672093,,173 George Road,Salisbury,SA,,Unit,3,,217445.90,6.14,360,Variable,Principal and Interest,Monthly,Interest Only Variable,08-27-2021,SETTLED,79.1,Wesfarmers,202142.01,4231.42
MIG-000090,Lucas Baker,04/09/1986,lucas.baker@protonmail.com,0476809125,,101 Station Drive,Cairns,QLD,4870,Unit,3,359400.00,292911.00,6.98,360,Split,Principal and Interest,Monthly,Package Fixed,21/03/2022,SETTLED,81.5,Qantas Airways,175282.18,7632.43
MIG-000091,Mason Phillips,07-07-1983,,0414918744,,155 Charles Crescent,Subiaco,WA,6008,House,4,300000.00,202200.00,7.48,300,Fixed,Principal and Interest,Monthly,Interest Only Variable,08-22-2018,APPROVED,67.4,Lendlease,154258.23,3231.72
MIG-000092,Noah Watson,1991-04-21,noah.watson@gmail.com,0411654276,,32 Railway Street,Carlton,VIC,3053,House,1,692000.00,490628.00,6.52,120,Variable,Principal and Interest,Monthly,Low Doc Variable,2017-09-07,UNDER_ASSESSMENT,70.9,University of Melbourne,116885.65,3045.77
MIG-000093,Elijah Wright,24/05/1965,,0448666294,Alexander Wright,14 Harbour Boulevard,Cairns,QLD,4870,House,4,482200.00,458090.00,6.16,360,Fixed,Interest Only,Fortnightly,First Home Buyer Variable,17/06/2023,DRAFT,95.0,CSL Limited,62339.48,3005.89
